Name,Repo Link,Region,Elevation,Lat/Long,x,y
Cape Adams,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Adams%22&tags=Automatic+weather+stations,Antarctic Peninsula,25m,-75.010S / -62.530W,-62.53,-75.01
Cape Bird,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Bird%22&tags=Automatic+weather+stations,Ross Island Vicinity,38.291m,-77.217S / 166.439E,166.439,-77.217
Cape Denison,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Denison%22&tags=Automatic+weather+stations,Adelie Coast,31m,-67.009S / 142.664E,142.664,-67.009
Cape Hallett,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Hallett%22&tags=Automatic+weather+stations,Ocean Islands,1m,-72.322S / 170.225E,170.225,-72.322
Cape Spencer,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Spencer%22&tags=Automatic+weather+stations,Ross Island Vicinity,23m,-77.967S / 167.531E,167.531,-77.967
Cape Webb,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Cape+Webb%22&tags=Automatic+weather+stations,Adelie Coast,37m,-67.943S / 146.812E,146.812,-67.943
Carolyn,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Carolyn%22&tags=Automatic+weather+stations,Ross Ice Shelf,52.027m,-79.904S / 175.946E,175.946,-79.904
Clean Air,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Clean+Air%22&tags=Automatic+weather+stations,High Polar Plateau,2835m,-90.000S / 0.000E,0,-90
D-10,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-10%22&tags=Automatic+weather+stations,Adelie Coast,243m,-66.705S / 139.841E,139.841,-66.705
D-17,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-17%22&tags=Automatic+weather+stations,Adelie Coast,438m,-66.730S / 139.700E,139.7,-66.73
D-47,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-47%22&tags=Automatic+weather+stations,Adelie Coast,1560m,-67.385S / 138.729E,138.729,-67.385
D-57,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-57%22&tags=Automatic+weather+stations,Adelie Coast,2105m,-68.199S / 137.538E,137.538,-68.199
D-80,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-80%22&tags=Automatic+weather+stations,Adelie Coast,2500m,-70.040S / 134.878E,134.878,-70.04
D-85,https://amrdcdata.ssec.wisc.edu/dataset?q=%22D-85%22&tags=Automatic+weather+stations,Adelie Coast,2682m,-70.426S / 134.146E,134.146,-70.426
Dismal Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Dismal+Island%22&tags=Automatic+weather+stations,Antarctic Peninsula,10m,-68.087S / -68.825W,-68.825,-68.087
Dolleman Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Dolleman+Island%22&tags=Automatic+weather+stations,Antarctic Peninsula,396m,-70.580S / -60.920W,-60.92,-70.58
